flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category-Frozen Custard,category--Sherbert,category--Sorbet,category-Gelato,category-Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee ,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla
Flavor,Size/Type,Product Description,Ingredients,Allergens,Servings Per container,Serving Size,Calories Per Serving,Calories Per Pint,Total Fat Per Serving,Total Fat Per Pint,Total Fat % Daily Value Per Serving,Total Fat % Daily Value Per Pint,Saturated Fat Per Serving,Saturated Fat Per Pint,Saturated Fat % Daily Value Per Serving,Saturated Fat % Daily Value Per Pint,Trans Fat Per Serving,Trans Fat Per Pint,Trans Fat % Daily Value Per Serving,Trans Fat % Daily Value Per Pint,Cholesterol Per Serving,Cholesterol Per Pint,Cholesterol % Daily Value Per Serving,Cholesterol % Daily Value Per Pint,Sodium Per Serving,Sodium Per Pint,Sodium % Daily Value Per Serving,Sodium % Daily Value Per Pint,Total Carbohydrate Per Serving,Total Carbohydrate Per Pint,Carbohydrate % Daily Value Per Serving,Carbohydrate % Daily Value Per Pint,Dietary Fiber Per Serving,Dietary Fiber Per Pint,Dietary Fiber % Daily Value Per Serving,Dietary Fiber % Daily Value Per Pint,Total Sugars Per Serving,Total Sugars Per Pint,Includes Added Sugars Per Serving,Includes Added Sugars Per Pint,% Daily Value added sugars Per Serving,% Daily Value added sugars Per Pint,Protein Per Serving,Protein Per Pint,Protein % Daily Value Per Serving,Protein % Daily Value Per Pint,Vitamin D Per Serving,Vitamin D Per Pint,Vitamin D % Daily Value Per Serving,Vitamin D % Daily Value Per Pint,Calcium Per Serving,Calcium Per Pint,Calcium % Daily Value Per Serving,Calcium % Daily Value Per Pint ,Iron Per Serving,Iron Per Pint,Iron % Daily Value Per Serving,Iron % Daily Value Per Pint,Potassium Per Serving,Potassium Per Pint,Poassium % Daily Value Per Serving,Poassium % Daily Value Per Pint,Vitamin A ,Vitamin A % Daily Value,Ice cream,Frozen Custard,Sherbet,Sorbet,Gelato,Churned,No Fat No Sugar,Reduced Fat,Gustafson's,Yogurt,Candy,Caramel,Chocolate,Cookies,Coffee ,Fruit,Fudge,Mint,Nuts,Vanilla
Big Muddy,Pint,Dark Chocolate Ice Cream with a Caramel Swirl and Brownie pieces,"NONFAT MILK,  CREAM, SUGAR, BROWNIE PIECE  [SUGAR, WHEAT FLOUR,  INTERESTERIFIED SOYBEAN OIL,  LIQUID PASTEURIZED EGGS,  COCOA PROCESSED WITH  ALKALI, RICE SYRUP, WATER,  CORN STARCH, SOY LECITHIN,  SALT, NATURAL FLAVOR, BAKING  SODA, BAKING POWDER (SODIUM  ACID PYROPHOSPHATE, SODIUM  BICARBONATE, CORN STARCH,  MONOCALCIUM PHOSPHATE)],  CARAMEL SWIRL [CORN SYRUP,  WATER, SWEETENED  CONDENSED MILK (CONDENSED  MILK, SUGAR), SUGAR,  SWEETENED CONDENSED SKIM  MILK (CONDENSED SKIM MILK,  SUGAR), MODIFIED CORN STARCH, SODIUM ALGINATE, SALT, SODIUM BICARBONATE, CORN SYRUP, WHEY, COCOA PROCESSED WITH ALKALI, STABILIZER [GUAR GUM, MONO & DIGYCERIDES, XANTHAN GUM, POLYSORBATE 8-, CARRAGEENAN].","Egg, Milk, Soy, Wheat",3,2/3 Cup (107g),260,770,12g,35g,15%,45%,7g,22g,35%,110%,0g,1g,0%,0%,30mg,95mg,10%,32%,95mg,280mg,4%,12%,37g,110g,13%,40%,2g,5g,7%,18%,27g,81g,23g,68g,46%,136%,4g,11g,0%,0%,0mg,1mg,0%,6%,101mg,303mg,8%,25%,2mg,5mg,10%,30%,305mg,914mg,6%,20%,0mg,0%,x,,,,,,,,,,,x,x,,,,,,,
Black Walnut,Pint,Black Wlanut Flavored Ice Cream with Black Walnuts,"Nonfat Milk, Cream,  Buttermilk, Sugar, Corn Syrup, Bllack  Walnuts, Whey, Mono & Diglycerides,  Guar Gum, Locust Bean Gum,  Carrageenan, Caramel Color, Natural  and Artificial Flavor, Salt. ","Milk, Tree Nuts",3,2/3 Cup (91g),200,610,12g,37g,15%,47%,7g,20g,35%,100%,0g,.5g,0%,0%,25mg,80mg,8%,27%,65mg,200mg,3%,9%,20g,61g,7%,22%,0g,1g,0%,4%,16g,49g,11g,33g,22%,66%,4g,12g,0%,0%,0mg,0mg,0%,0%,113mg,338mg,8%,25%,0mg,1mg,0%,6%,191mg,574mg,4%,10%,,,x,,,,,,,,,,,,,,,,,,x,
Butter Pecan,Pint,Butter Pecan Flavored Ice Cream with Pecans,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CORN SYRUP, PECANS [PECANS,  COTTONSEED OIL, BUTTER  (CREAM, NATURAL FLAVORING),  SALT], WHEY, BUTTER PECAN  FLAVOR [NATURAL FLAVOR,  WATER, SALT, SOY SAUCE,  SUGAR], STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], VANILLA  EXTRACT, ARTIFICIAL FLAVOR,  ANNATTO EXTRACT (COLOR), SEA  SALT.","Milk, Pecan, Soy",3,2/3 Cup (92g),220,670,14g,43g,18%,55%,7g,21g,35%,105%,0g,1g,0%,0%,25mg,80mg,8%,27%,115mg,350mg,5%,15%,20g,61g,7%,22%,1g,2g,4%,7%,16g,49g,11g,33g,22%,66%,3g,10g,0%,0%,0mg,0mg,0%,0%,113mg,340mg,8%,25%,0mg,1mg,0%,6%,190mg,574mg,4%,10%,,,x,,,,,,,,,,,,,,,,,,x,
Candy Bar,Pint,"a Candy Bar Nougat Flavored Ice Cream with Fudge Covered Peanuts, a Caramel Ribbon and Snickers Bar Pieces","NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  PEANUT NOUGAT BASE [WATER,  PEANUT BUTTER (PEANUTS,  SUGAR, PEANUT OIL, SALT), CORN  SYRUP, SUGAR, HIGH FRUCTOSE  CORN SYRUP, MODIFIED TAPIOCA  STARCH, COCOA, SALT, DRY MALT  EXTRACT, MONO AND  DIGLYCERIDES, NATURAL  FLAVOR], DULCE DE LECHE SWIRL [SUGAR, CONDENSED  SKIM MILK, HIGH FRUCTOSE  CORN SYRUP, WATER, BUTTER  (CREAM, SALT), COCONUT OIL,
CORN SYRUP, SALT, NATURAL AND  ARTIFICIAL FLAVORING, PECTIN],
CORN SYRUP, SNICKERS CANDY  BAR [MILK CHOCOLATE (SUGAR,
COCOA BUTTER, CHOCOLATE,  SKIM MILK, LACTOSE, MILK FAT,  SOY LECITHIN, ARTIFICIAL
FLAVOR), PEANUTS, CORN  SYRUP, SUGAR, PALM OIL, SKIM
MILK, LACTOSE, SALT, EGG  WHITES, ARTIFICIAL FLAVOR],
CHOCOLATE FUDGE PEANUTS  [CONFECTIONERY COATING
(SUGAR, COCONUT OIL,
ALKALIZED COCOA, NATURAL  COCOA, MILKFAT, SOY LECITHIN
{EMULSIFIER}, NATURAL L
FLAVORS), PEANUTS (OIL  ROASTED PENUTS, SALT, PEANUT  OIL), SALT], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.","Egg, Milk, Peanut, Soy",3,2/3 Cup (102g),250,760,13g,39,17%,50%,7g,22g,35%,110%,0g,0.5g,0%,0%,25.00,75mg,8%,25%,180mg,530mg,8%,23%,0g,1g,12%,35%,0g,0g,4%,7%,0g,1g,0g,1g,40%,120%,0g,0g,0%,0%,1mg,2mg,6%,10%,105mg,316mg,8%,25%,0mg,1mg,0%,6%,204mg,613mg,4%,15%,,,x,,,,,,,,,,x,x,x,,,,,,x,
Caramel Collision,Pint,Caramel Ice cream with a Caramel Swirl and Chocolate  Coated Caramel Mini Cups,"NONFAT MILK,  CREAM,-BUTTERMILK, SUGAR,  DULCE DE LECHE SWIRL [SUGAR,  CONDENSED SKIM MILK, HIGH  FRUCTOSE CORN SYRUP, WATER,  BUTTER (CREAM, SALT),  COCONUT OIL, CORN SYRUP,  SALT, NATURALANDARTIFICIAL  FLAVORING, PECTIN], CORN  SYRUP, MILK CHOCOLATE  CARAMEL CUPS [SUGAR,  COCONUT OIL, CORN SYRUP,  SWEETENED CONDENSED  WHOLE MILK (MILK, SUGAR),  NONFAT MILK, MILK, COCOA  PROCESSED WITH ALKALI, HEAVY  CREAM, BUTTER (CREAM, SALT),  PALM KERNEL OIL, SOY LECITHIN  (EMULSIFIER), NATURALAND  ARTIFICIAL FLAVORS, SALT],  CARAMEL BASE [CORN SYRUP,
SUGAR,WATER,BUTTER(CREAM,  SALT), CONDENSED SKIM MILK,  CARAMEL COLOR, ANNATTO  COLOR, NATURAL AND ARTIFICIAL  FLAVORING, CARRAGEENAN],  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.","Milk, Soy",3,2/3 Cup (102g),240,730,12g,39g,15%,47%,9g,26g,45%,130%,0g,1g,0%,0%,30mg,90mg,10%,30%,110mg,340mg,5%,15%,31g,93g,11%,34%,0g,1g,0%,4%,25g,74g,19g,58g,38%,116%,3g,9g,0%,0%,1mg,3mg,6%,15%,116mg,349mg,8%,25%,0mg,1mg,0%,6%,186mg,557mg,4%,10%,,,x,,,,,,,,,,,x,x,,,,,,,
Chocolate,Pint,Chocolate Ice Cream,"Nonfat Milk, Cream,  Buttermilk, Sugar, Corn Syrup, Cocoa  (Processed With Alkali), Whey, Guar  Gum, Mono & Diglycerides, Xanthan  Gum, Polysorbate 80, Carrageenan,  Salt.",Milk,3,2/3 Cup (92g),190,570,10g,37g,13%,38%,7g,20g,35%,100%,0g,1g,0%,0%,25mg,80mg,8%,27%,70mg,210mg,3%,9%,22g,65g,8%,24%,1g,3g,4%,11%,18g,53g,12g,37g,24%,74%,3g,10g,0%,0%,0mg,0mg,0%,0%,107mg,321mg,8%,25%,1mg,4mg,6%,20%,289mg,867mg,6%,20%,,,x,,,,,,,,,,,,x,,,,,,,
Chocolate Chip Cookie Dough,Pint,Cookie Dough Pieces and Chocolate Chips Blended in Cookie Dough Flavored Ice cream,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CHOCOLATE CHIP COOKIE  DOUGH [WHEAT FLOUR, SUGAR,  BROWN SUGAR, BUTTER, WATER,  SOYBEAN OIL, CHOCOLATE CHIPS  (SUGAR, CHOCOLATE LIQUOR,  COCOA BUTTER, SOY LECITHIN
{EMULSIFIER}, VANILLA EXTRACT),),  CORN STARCH, MOLASSES, SALT,  NATURAL FLAVOR, SOY LECITHIN,  BAKING SODA], CORN SYRUP,  WHEY, DARK CHOCOLATE  FLAVORED CHUNK [SUGAR,
COCONUT OIL, COCOA  PROCESSED WITH ALKALI,  COCOA POWDER, MILKFAT, SOY
LECITHIN (EMULSIFIER), VANILLA  EXTRACT, NATURAL FLAVOR],
COOKIE DOUGH FLAVOR [SUGAR,  HIGH FRUCTOSE CORN SYRUP,
WATER, CORN SYRUP, SALT,  NATURAL FLAVOR, MOLASSES,
CARAMEL COLOR], STABILIZER  [MONO & DIGLYCERIDES, GUAR
GUM, LOCUST BEAN GUM,  CARRAGEENAN], ANNATTO
EXTRACT (COLOR), SEA SALT.","Milk, Soy, Wheat",3,2/3 Cup (99g),220,670,12g,30g,15%,45%,7g,22g,35%,110%,0g,1g,0%,0%,30mg,85mg,10%,28%,95mg,290mg,4%,13%,28g,85g,10%,31%,0g,1g,0%,4%,22g,65g,16g,49g,32%,98%,3g,10g,0%,0%,0mg,0mg,0%,0%,110mg,331mg,8%,25%,0mg,1mg,0%,6%,184mg,552mg,4%,10%,,,x,,,,,,,,,,,,x,,,,,,,
Chocolate Cookie Extreme,Pint,Chocolate Ice Cream with Chocolate Sandwich Chunks and Chocolate Cookie Swirl,"NONFAT MILK,  CREAM,SUGAR,CHOCOLATE  COOKIE CRUMB SWIRL [SOYBEAN  OIL, POWDERED SUGAR (SUGAR,  CORNSTARCH), CHOCOLATE  COOKIE-CRUMB (UNBLEACHED,  UNENRICHED WHEAT FLOUR,  SUGAR, PALM OIL, COCOA  PROCESSED WITH ALKALI, SALT,  BAKING SODA, NATURAL FLAVOR,  SOY LECITHIN), COCOA  PROCESSED WITH ALKALI, SALT,  SOY LECITHIN, NATURAL FLAVOR],  CORN SYRUP, CHOCOLATE  SANDWICH COOKIE [SUGAR,  ENRICHED FLOUR (WHEAT  FLOUR, NIACIN, REDUCED IRON,  VITAMIN B1 {THIAMINE  MONONITRATE}, VITAMIN B2
{RIBOFLAVIN}, FOLIC ACID)..  SOYBEAN AND PALM OIL WITH  TBHQFORFRESHNESS,COCOA  PROCESSED WITH ALKALI,  INVERT SUGAR, CONTAINS 2% OR  LESS OF DEGERMINATED  YELLOW CORN FLOUR,  CORNSTARCH, CHOCOLATE,  LEAVENING (BAKING SODA,  MONOCALCIUM PHOSPHATE),  SALT, ARTIFICIAL FLAVOR, SOY  LECITHIN, WHEY], COCOA  PROCESSED WITH ALKALI,  BUTTERMILK, WHEY, STABILIZER  [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], SEA SALT.  ","Milk, Soy, Wheat ",3,2/3 Cup (101g),270,800,15g,35g,19%,58%,7g,22g,35%,110%,0g,1g,0%,0%,25mg,75mg,8%,25%,140mg,420mg,6%,18%,30g,90g,11%,33%,2g,6g,7%,21%,22g,66g,17g,51g,34%,102%,4g,12g,0%,0%,0mg,0mg,0%,0%,103mg,308mg,8%,25%,2mg,5mg,10%,30%,328mg,984mg,6%,20%,,,x,,,,,,,,,,,,x,x,,,,,,
Daily Drind,Pint,Coffee Flavored Ice Cream with a Caramel Ribbon and Chocolate Covered Expresso Pieces,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  MOCHA FUDGE SWIRL [CORN  SYRUP, HIGH FRUCTOSE CORN  SYRUP, BUTTERMILK, SUGAR,  CHOCOLATE LIQUOR, MILK, WHEY  POWDER, NATURAL FLAVOR,  COCOA PROCESSED WITH  ALKALI, BUTTER, PECTIN, MONO &  DIGLYCERIDES, SALT, SOY  LECITHIN, XANTHAN GUM], DULCE  DE LECHE SWIRL [SUGAR,  CONDENSED SKIM MILK, HIGH  FRUCTOSE CORN SYRUP, WATER,  BUTTER (CREAM, SALT),  COCONUT OIL, CORN SYRUP,  SALT, NATURALANDARTIFICIAL  FLAVORING, PECTIN],
CHOCOLATE ESPRESSO CHUNKS  [CHOCOLATE (SUGAR,  CHOCOLATE LIQUOR, COCOA  BUTTER, SOY LECITHIN), SUGAR,  GLUCOSE SYRUP, BUTTER  (CREAM, SALT), COFFEE, BROWN  SUGAR, CREAM, SALT, SOY  LECITHIN], CORN SYRUP, WHEY,  NATURAL COFFEE FLAVOR  EXTRACT: [NATURAL FLAVOR,  INVERT SUGAR SYRUP],  STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ","Milk, Soy",3,2/3 Cup (106g),260,780,12g,45g,15%,46%,8g,24g,40%,120%,0g,1g,0%,0%,25mg,80mg,8%,27%,115mg,340mg,5%,15%,36g,109g,13%,40%,1g,2g,4%,7%,29g,88g,24g,72g,48%,144%,3g,10g,0%,0%,1mg,2mg,6%,10%,108mg,324mg,8%,25%,1mg,2mg,6%,10%,206mg,618mg,4%,15%,,,x,,,,,,,,,,,,,,x,,,,,
Elephant Tracks,Pint,Pieces of Peanut Butter Cups and Chocolate Fudge Swirled in Chocolate Ice Cream,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CHOCOLATE FUDGE SWIRL [CORN  SWEETENERS (HIGH FRUCTOSE  CORN SYRUP, CORN SYRUP),  WATER, SUGAR, SWEETENED  CONDENSED SKIM MILK ( SKIM  MILK, SUGAR, CORN SYRUP),  COCOA PROCESSED WITH  ALKALI, BUTTER (CREAM, SALT),  WHEY, CHOCOLATE LIQUOR,  MODIFIED CORN STARCH,
SODIUM ALGINATE, NATURAL AND  ARTIFICIAL FLAVORS], CORN  SYRU PEANUTBUTTERCUPS
[MILK CHOCOLATE (SUGAR,  COCOA BUTTER, CHOCOLATE,
MILK, SOY LECITHIN
{EMULSIFIER}, VANILLA EXTRACT),),  PEANUT BUTTER (PEANUTS,  SUGAR, PALM KERNEL OIL,  LACTOSE, SALT, SOY LECITHIN
{EMULSIFIER})], COCOA A  PROCESSED WITH ALKALI, WHEY,
STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,
CARRAGEENAN], SEA SALT.  ","Milk, Peanut, Soy",3,2/3 Cup (100g),240,710,12g,36g,15%,45%,8g,23g,40%,115%,0g,1g,0%,0%,25mg,80mg,8%,27%,80mg,240mg,3%,10%,29g,87g,11%,32%,1g,4g,4%,14%,24g,71g,17g,52g,34%,104%,4g,11g,0%,0%,0mg,0mg,0%,0%,110mg,329mg,8%,25%,2mg,5mg,10%,30%,324mg,971mg,6%,20%,,,x,,,,,,,,,,,,,,,,,,,
Jamocha Joe,Pint,Coffee Flavored Ice Ceam with Diced Almonds and Chocolate Fudge Swirl,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  MOCHA FUDGE SWIRL [CORN  SYRUP, HIGH FRUCTOSE CORN  SYRUP, BUTTERMILK, SUGAR,  CHOCOLATE LIQUOR, MILK, WHEY  POWDER, NATURAL FLAVOR,  COCOA PROCESSED WITH  ALKALI, BUTTER (CREAM, SALT),  PECTIN, MONO & DIGLYCERIDES,  SALT, SOY LECITHIN, XANTHAN  GUM], CHOCOLATE FLAVORED  FUDGE [CORN SYRUP, WATER,  COCOA PROCESSED WITH  ALKALI, MODIFIED CORN STARCH,  SALT, VANILLA EXTRACT, SKIM  MILK], CORN SYRUP, ALMONDS  [ALMONDS, COTTONSEED OIL,  SALT], WHEY, STABILIZER [MONO  & DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], NATURAL  COFFEE FLAVOR EXTRACT  [NATURAL FLAVOR, INVERT  SUGAR SYRUP], SEA SALT.","Milk, Soy, Tree Nuts",3,2/3 Cup (98g),230,690,11g,35g,14%,42%,6g,18g,30%,90%,0g,1g,0%,0%,25mg,70mg,8%,23%,100mg,300mg,4%,13%,30g,91g,11%,33%,1g,3g,4%,11%,23g,68g,18g,53g,36%,106%,4g,11g,0%,0%,0mg,0mg,0%,0%,112mg,337mg,8%,25%,1mg,2mg,6%,10%,221mg,663mg,4%,15%,,,x,,,,,,,,,,,,,,x,,,,x,
Key Lime Pie,Pint,Honey Graham Crust with swirls of Whipped Cream and Key Lime Pie ribbon in Lime Flavored Ice Cream,"NONFAT MILK, CREAM,  BUTTERMILK, SUGAR, GRAHAM  FLAVORED CRUNCH [UNENRICHED  WHEAT FLOUR, MARGARINE (PALM OIL,  WATER, SOYBEAN OIL, SALT, MONO­  AND DIGLYCERIDES, ANNATTO  (COLOR), CALCIUM DISODIUM EDTA
{PRESERVATIVE}, ARTIFICIAL BUTTER R  FLAVOR, VITAMIN A PALMITATE),  SUGAR, BROWN SUGAR, PALM OIL,  HONEY POWDER (HONEY, HIGH  FRUCTOSE CORN SYRUP, WHEAT  STARCH, CORN SYRUP, SOY FLOUR,  CALCIUM STEARATE {TO PREVENT  CAKING}, WATER, ARTIFICIAL AND  NATURAL FLAVORS, SALT, BAKING  SODA], KEY LIME PIE SWIRL [WATER,  SWEETENED CONDENSED MILK (  CONDENSED MILK, SUGAR),  DEXTROSE, HIGH FRUCTOSE CORN  SYRUP, CORN SYRUP, MODIFIED CORN  STARCH, SODIUM CITRATE, CITRIC  ACID, SALT, NATURAL FLAVOR,  CARRAGEENAN], WHIPPED CREAM  SWIRL [CORN SYRUP, HIGH FRUCTOSE  CORN SYRUP, WATER, DEXTROSE,  MODIFIED CORN STARCH, TITANIUM  DIOXIDE, SALT, NATURALAND  ARTIFICIAL FLAVORS), CORN SYRUP,  LIME MOUSE BASE [SWEETENED  CONDENSED MILK (CONDENSED MILK,  SUGAR), WATER, CITRIC ACID, SUGAR,  ARTIFICIAL FLAVOR, POWDERED  SUGAR (SUGAR, CORN STARCH), LIME  OIL, LEMON OIL, ARTIFICIAL COLOR  (TURMERIC, BLUE 1)), WHEY,  STABILIZER [MONO & DIGLYCERIDES,  GUAR GUM, LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT. ","Milk, Soy, Wheat ",3,2/3 Cup (96g),220,650,10g,33g,13%,38%,7g,20g,35%,100%,0g,1g,0%,0%,25mg,75mg,8%,25%,110mg,330mg,5%,14%,28g,85g,10%,31%,0g,1g,0%,4%,22g,65g,17g,50g,34%,100%,3g,9g,0%,0%,0mg,0mg,0%,0%,105mg,314mg,8%,25%,0mg,0mg,0%,0%,168mg,503mg,4%,10%,,,x,,,,,,,,,,,,,x,,,,,,
Mackinac Island Fudge,Pint,Vanilla Ice Cream with Chewy Fudge Pieces and Swirled with Butter Fudge Sauce,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  BUTTER FUDGE SWIRL [CORN  SYRUP, HIGH FRUCTOSE CORN  SYRUP, BUTTERMILK, SUGAR,  SKIM MILK, CHOCOLATE LIQUOR,  WHEY, BUTTER (CREAM, SALT),  COCOA PROCESSED WITH  ALKALI, PECTIN, MONO &  DIGLYCERIDES, SALT, SOY  LECITHIN (EMULSIFIER), XANTHAN  GUM, NATURAL FLAVOR], FUDGE  PIECE [SUGAR, COCONUT OIL,  COCOA PROCESSED WITH
ALKALI, PEANUT OIL (REFINED),  COCOA, NATURAL FLAVOR, SOY  LECITHIN (EMULSIFIER)], CORN  SYRUP, WHEY, STABILIZER [MONO  & DIGLYCERIDES, GUAR GUM,
LOCUST BEAN GUM,  CARRAGEENAN], VANILLA
EXTRACT, ARTIFICIAL FLAVOR,
SEA SALT, ANNATTO EXTRACT  COLOR.","Milk, Soy",3,2/3 Cup (100g),240,710,12g,30g,15%,47%,8g,25g,40%,125%,0g,1g,0%,0%,25mg,80mg,8%,27%,80mg,240mg,3%,10%,29g,87g,11%,32%,1g,2g,4%,7%,24g,72g,19g,56g,38%,112%,3g,10g,0%,0%,0mg,0mg,0%,0%,115mg,345mg,8%,25%,0mg,1mg,0%,6%,217mg,650mg,4%,15%,,,x,,,,,,,,,,,,x,,,,x,,,x
Midnight Dark Chocolate,Pint,Dark Chocolate Flavored Ice Cream,"NONFAT MILK,  CREAM, SUGAR, CORN SYRUP,  WHEY, COCOA PROCESSED WITH  ALKALI, STABILIZER [GUAR GUM,  MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN]. ",Milk,3,2/3 Cup  (93g),200,590,10g,37g,13%,38%,7g,20g,35%,100%,0g,1g,0%,0%,25mg,80mg,8%,27%,60mg,170mg,3%,7%,25g,75g,9%,27%,1g,4g,4%,14%,19g,57g,15g,43g,30%,86%,3g,9g,0%,0%,0mg,1mg,0%,6%,101mg,297mg,8%,25%,1mg,4mg,6%,20%,283mg,834mg,6%,20%,,,x,,,,,,,,,,,,x,,,,,,,
Mint Chocolate Chip,Pint,Green Mint Flavored Ice Cream with Chocolate Chips,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  DARK CHOCOLATE FLAVORED  CHUNK [SUGAR, COCONUT OIL,  COCOA PROCESSED WITH  ALKALI, COCOA POWDER,  MILKFAT, SOY LECITHIN  (EMULSIFIER), VANILLA EXTRACT,  NATURAL FLAVOR], CORN SYRUP,  WHEY, NATURAL FLAVOR,  STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], YELLOW 5 &  BLUE 1 (COLOR), SEA SALT.  ","Milk, Soy",3,2/3 Cup (95g),210,630,12g,30g,15%,46%,8g,25g,40%,125%,0g,1g,0%,0%,30mg,85mg,10%,28%,70mg,200mg,3%,9%,24g,72g,9%,26%,1g,2g,4%,7%,20g,59g,14g,43g,28%,86%,3g,9g,0%,0%,0mg,0mg,0%,0%,113mg,340mg,8%,25%,1mg,2mg,6%,10%,203mg,610mg,4%,15%,,,x,,,,,,,,,,x,,x,,,,,x,,
Neapolitan,Pint,"Chocolate, Strawberry, Vanilla Flavored Ice Cream","NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CORN SYRUP, STRAWBERRY  FLAVOR [CORN SYRUP, WATER,  MODIFIED CORN STARCH, SUGAR,  NATURAL AND ARTIFICIAL  FLAVORS, CITRIC ACID,  CELLULOSE GUM, RED 40 AND  BLUE 1 (COLOR)], WHEY, COCOA  PROCESSED WITH ALKALI,  STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], STRAWBERRY  FLAVOR [NATURAL FLAVORS,  WATER, GUM TRAGACANTH,  CITRIC ACID, RED 40 (COLOR)],  VANILLA EXTRACT, ARTIFICIAL  FLAVOR, STABILIZER [GUAR GUM,  MONO & DIGLYCERIDES,
XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], CITRIC ACID,  RED 40 AND BLUE 1 (COLOR), SEA
SALT, ANNATTO EXTRACT COLOR. ",Milk,3,2/3 Cup (86g),170,510,9g,36g,12%,35%,6g,18g,30%,90%,0g,1g,0%,0%,25mg,75mg,8%,25%,65mg,190mg,3%,8%,20g,60g,7%,22%,0g,1g,0%,4%,16g,48g,11g,34g,22%,68%,3g,8g,0%,0%,0mg,0mg,0%,0%,101mg,302mg,8%,25%,0mg,1mg,0%,6%,193mg,579mg,4%,10%,,,x,,,,,,,,,,,,x,,,x,,,,x
